fabric_id,fabric_name,fabric_type,standard_cost_per_meter,standard_lead_time_weeks,safety_stock_meters,criticality
FAB_001,Premium Denim Grade-1,Denim,16.39,3,2290,HIGH
FAB_002,Premium Cotton Grade-2,Cotton,9.74,3,5521,HIGH
FAB_003,Premium Wool Grade-3,Wool,15.01,4,4740,MEDIUM
FAB_004,Premium Denim Grade-4,Denim,15.48,5,5831,HIGH
FAB_005,Premium Poly-Blend Grade-5,Poly-Blend,10.0,4,5307,MEDIUM
FAB_006,Premium Denim Grade-6,Denim,7.25,5,3765,MEDIUM
FAB_007,Premium Nylon Grade-7,Nylon,13.11,5,2221,HIGH
FAB_008,Premium Wool Grade-8,Wool,6.62,5,3389,HIGH
FAB_009,Premium Denim Grade-9,Denim,9.04,5,3837,LOW
FAB_010,Premium Nylon Grade-10,Nylon,8.89,4,3023,LOW
FAB_011,Premium Poly-Blend Grade-11,Poly-Blend,20.45,5,2401,LOW
FAB_012,Premium Cotton Grade-12,Cotton,23.43,3,2681,MEDIUM
FAB_013,Premium Poly-Blend Grade-13,Poly-Blend,14.41,4,5696,LOW
FAB_014,Premium Wool-Blend Grade-14,Wool-Blend,18.5,6,7500,HIGH
FAB_015,Premium Linen Grade-15,Linen,13.33,5,5208,HIGH
FAB_016,Premium Poly-Blend Grade-16,Poly-Blend,8.36,4,2891,LOW
FAB_017,Premium Cotton Grade-17,Cotton,19.34,3,2205,HIGH
FAB_018,Premium Poly-Blend Grade-18,Poly-Blend,14.8,5,2644,LOW
FAB_019,Premium Wool Grade-19,Wool,21.25,3,4437,LOW
FAB_020,Premium Denim Grade-20,Denim,12.97,5,3008,HIGH
FAB_021,Premium Cotton Grade-21,Cotton,16.96,4,4692,HIGH
FAB_022,Premium Silk Grade-22,Silk,22.79,3,4743,HIGH
FAB_023,Premium Silk Grade-23,Silk,9.92,4,2536,HIGH
FAB_024,Premium Linen Grade-24,Linen,13.96,3,2038,MEDIUM
FAB_025,Premium Wool Grade-25,Wool,6.86,3,4072,MEDIUM
FAB_026,Premium Polyester Grade-26,Polyester,22.77,3,5601,LOW
FAB_027,Premium Silk Grade-27,Silk,10.77,4,5415,HIGH
FAB_028,Premium Linen Grade-28,Linen,16.82,5,4166,LOW
FAB_029,Premium Linen Grade-29,Linen,22.74,3,5845,LOW
FAB_030,Premium Linen Grade-30,Linen,7.64,3,5040,HIGH
